date,region,cases
2020-06-12,Interior,3
2020-06-12,MatSu,2
2020-06-12,Northern,1
2020-06-12,Southeast,5
2020-06-12,Southwest,1
2020-06-13,Anchorage,3
2020-06-13,Gulf Coast,1
2020-06-13,Interior,4
2020-06-13,MatSu,1
2020-06-14,Anchorage,1
2020-06-14,Gulf Coast,1
2020-06-14,MatSu,1
2020-06-15,Anchorage,7
2020-06-15,Gulf Coast,4
2020-06-15,MatSu,1
2020-06-15,Southwest,1
2020-06-16,Anchorage,4
2020-06-16,Gulf Coast,3
2020-06-16,Interior,6
2020-06-16,MatSu,2
2020-06-16,Northern,1
2020-06-16,Southeast,4
2020-06-17,Anchorage,2
2020-06-17,Gulf Coast,1
2020-06-17,Interior,3
2020-06-17,MatSu,3
2020-06-17,Southeast,2
2020-06-17,Southwest,1
2020-06-18,Anchorage,6
2020-06-18,Gulf Coast,1
2020-06-18,Interior,2
2020-06-18,MatSu,2
2020-06-18,Northern,1
2020-06-18,Southeast,1
2020-06-18,Southwest,1
2020-06-19,Anchorage,8
2020-06-19,Gulf Coast,2
2020-06-19,Interior,8
2020-06-19,MatSu,1
2020-06-19,Southeast,2
2020-06-20,Anchorage,6
2020-06-20,Gulf Coast,1
2020-06-20,Interior,3
2020-06-20,MatSu,1
2020-06-21,Anchorage,3
2020-06-21,MatSu,2
2020-06-21,Northern,1
2020-06-22,Anchorage,9
2020-06-22,Gulf Coast,1
2020-06-22,Interior,2
2020-06-22,MatSu,2
2020-06-22,Northern,1
2020-06-22,Southwest,1
2020-06-23,Anchorage,8
2020-06-23,Interior,3
2020-06-23,MatSu,2
2020-06-23,Southeast,1
2020-06-24,Anchorage,7
2020-06-24,Gulf Coast,6
2020-06-24,Interior,8
2020-06-24,MatSu,3
2020-06-24,Southwest,1
2020-06-25,Anchorage,6
2020-06-25,Gulf Coast,2
2020-06-25,Interior,3
2020-06-25,MatSu,4
2020-06-25,Southeast,4
2020-06-26,Anchorage,10
2020-06-26,Gulf Coast,2
2020-06-26,Interior,2
2020-06-26,MatSu,4
2020-06-26,Southwest,1
2020-06-27,Anchorage,15
2020-06-27,Gulf Coast,4
2020-06-27,Interior,5
2020-06-27,MatSu,4
2020-06-27,Southeast,1
